"Australian Bureau of Statistics",,,,,,,,
"3302055001DO001_20082010 Life Tables, Australia, 2008-2010",,,,,,,,
"Released at 11:30 am (Canberra time) Thurs 10 Nov 2011",,,,,,,,
"Table 1 Life Tables, Australia, 2008 -- 2010",,,,,,,,
,"Males",,,,"Females",,,
,"lx","qx","Lx","ex","lx","qx","Lx","ex"
,"no.","no.","no.","no.","no.","no.","no.","no."
"74","74,745",0.02789,"73,716",12.2,"84,360",0.01656,"83,672",14.4
"75","72,661",0.03099,"71,549",11.5,"82,963",0.01847,"82,209",13.7
"76","70,409",0.03454,"69,208",10.9,"81,430",0.02077,"80,599",12.9
"77","67,977",0.03859,"66,682",10.2,"79,739",0.02353,"78,817",12.2
"78","65,354",0.04321,"63,959",9.6,"77,863",0.02679,"76,838",11.5
"79","62,530",0.04847,"61,032",9.0,"75,777",0.03062,"74,637",10.8
"80","59,499",0.05443,"57,897",8.5,"73,457",0.03507,"72,191",10.1
"81","56,260",0.06115,"54,557",7.9,"70,881",0.04020,"69,479",9.4
"82","52,820",0.06869,"51,021",7.4,"68,031",0.04605,"66,489",8.8
"83","49,192",0.07709,"47,308",6.9,"64,898",0.05268,"63,213",8.2
"84","45,399",0.08641,"43,447",6.5,"61,479",0.06015,"59,653",7.6
"85","41,476",0.09668,"39,476",6.0,"57,782",0.06856,"55,822",7.1
"86","37,466",0.10765,"35,448",5.6,"53,820",0.07805,"51,738",6.6
"87","33,433",0.11839,"31,445",5.3,"49,619",0.08873,"47,433",6.1
"88","29,475",0.12976,"27,551",4.9,"45,216",0.10070,"42,950",5.6
"89","25,651",0.14305,"23,803",4.5,"40,663",0.11405,"38,348",5.2
"90","21,981",0.15948,"20,215",4.2,"36,025",0.12886,"33,701",4.8
"91","18,476",0.17951,"16,795",3.9,"31,383",0.14519,"29,093",4.5
"92","15,159",0.19624,"13,642",3.7,"26,826",0.16308,"24,620",4.1
"93","12,184",0.21572,"10,839",3.5,"22,451",0.18237,"20,376",3.8
"94","9,556",0.23333,"8,407",3.3,"18,357",0.20215,"16,466",3.6
"95","7,326",0.24774,"6,384",3.1,"14,646",0.22143,"12,983",3.4
"96","5,511",0.25768,"4,771",3.0,"11,403",0.23932,"9,994",3.2
"97","4,091",0.27033,"3,514",2.9,"8,674",0.25208,"7,538",3.0
"98","2,985",0.28150,"2,545",2.7,"6,488",0.26484,"5,593",2.9
"99","2,145",0.29226,"1,816",2.6,"4,769",0.27760,"4,078",2.8
100,"1,518",0.30671,"3,825",2.5,"3,445",0.29036,"9,164",2.7
,,,,,,,,
,,,,,,,,
" Commonwealth of Australia 2011",,,,,,,,
